POLYGON_ID,NAME,NUTS_ID,POPULATION,OUTBREAK-R_BASELINE,OUTBREAK-R_EVENT,OUTBREAK-R_BASELINE_lower,OUTBREAK-R_BASELINE_upper,OUTBREAK-R_EVENT_lower,OUTBREAK-R_EVENT_upper,RELATIVE_RISK,EMERGENCE/IMPORTATION_HOSTPOT,OUTBREAK_HOTSPOT
ITA.1.4_1,Teramo,ITF12,303900,1.3519790083551526,1.4016183780672906,0.9772827880700896,1.6790260504603145,0.9881203034219008,1.7330583455558661,0.4710283524101498,False,False
ITA.1.3_1,Pescara,ITF13,316363,1.4180494696527797,1.4345234677464966,1.025042053729531,1.7610791185916093,1.0113179067829356,1.7737444846449144,0.5250516443572553,False,False
ITA.1.1_1,Chieti,ITF14,378840,1.4124807370957086,1.449245250413746,1.021016675786709,1.7541632959541378,1.021696546635056,1.7919475195880763,0.520774395751191,False,False
ITA.12.2_1,Isernia,ITF21,83154,1.429044740515524,1.4891759909349922,1.0329900239997216,1.7747341724765624,1.049847130315417,1.8413206615127669,0.533357347444898,False,True
ITA.12.1_1,Campobasso,ITF22,217362,1.448213774636483,1.4589709823109611,1.0468464278303797,1.7985402430237742,1.0285530443120685,1.8039730902390185,0.5474074540191934,False,False
ITA.5.3_1,Caserta,ITF31,913666,1.418806772871473,1.4449696795825777,1.0255894730285033,1.7620196153185743,1.0186823322004384,1.7866609067504298,0.5256296125538779,False,False
ITA.20.2_1,Padova,ITH36,933700,1.3971032191031554,1.4033217658727877,1.0099009827437793,1.7350659185974204,0.9893211667250303,1.7351645325881062,0.5087095056231724,False,False
ITA.20.3_1,Rovigo,ITH37,231734,1.4133216483386193,1.4222507093650316,1.0216245314404673,1.7552076256916904,1.0026657929654506,1.7585695934842283,0.5214233731794846,False,False
ITA.13.3_1,Biella,ITC13,174170,1.4373901811375664,1.4665602374710853,1.0390225551473065,1.7850983956785382,1.0339033573708263,1.8133569726121523,0.5395402848294943,False,False
ITA.13.7_1,VCO,ITC14,156320,1.4576705709602193,1.4545602933964947,1.0536823063613014,1.8102846616007822,1.0254435736197167,1.7985194080153257,0.5541441933545079,False,False
ITA.18.2_1,Terni,ITI22,223455,1.3859082114859929,1.4332059793308602,1.0018086320571535,1.7211628111466724,1.0103890968633564,1.7721154504301662,0.4996852704320908,False,False
ITA.11.5_1,Pesaro,ITI31,356497,1.363945997342172,1.370015412000021,0.9859331682089548,1.693887883470002,0.9658406780202401,1.6939822425707418,0.4813666771676052,False,False
